q_id,web_list
1,"[496,718,481,1607,1808]"
2,"[1570,372,368,1609,455]"
3,"[116,1067,1188,110,386]"
4,"[1043,440,1620,1060,1051]"
5,"[1025,1586,1520,1561,1535]"
6,"[108,697,1721,1599,212]"
7,"[1916,1178,1906,290,1936]"
8,"[282,501,66,1765,1777]"
9,"[612,1239,113,921,1618]"
10,"[1884,1068,1636,789,462]"
11,"[1202,410,289,1070,112]"
12,"[455,1611,1192,125,926]"
13,"[1733,128,455,1025,116]"
14,"[372,752,762,759,368]"
15,[]
16,"[677,1676,868,1129,603]"
17,"[1733,455,368,765,773]"
18,"[1607,1904,1733,603,18]"
19,"[1676,868,412,1748,618]"
20,"[1043,1196,868,406,407]"
21,"[455,116,1733,128,412]"
22,"[891,1619,46,1066,1761]"
23,"[501,1765,1777,1809,1506]"
24,[]
25,"[116,618,455,1044,1639]"
26,"[455,862,1697,1696,1248]"
27,"[1088,1022,1615,1586,1064]"
28,"[677,106,98,289,409]"
29,"[29,1676,116,1618,1248]"
30,"[819,1884,1043,672,464]"
31,"[1676,113,29,1248,1675]"
32,"[116,1733,128,412,411]"
33,"[1884,789,462,1910,672]"
34,"[718,481,1677,1157,1506]"
35,"[455,89,90,1885,666]"
36,"[700,1121,460,1187,1205]"
37,[]
38,"[1607,1608,1202,410,1517]"
39,"[878,922,478,1924,101]"
40,"[868,1748,1131,692,358]"
41,[]
42,"[1121,645,1064,198,1040]"
43,"[501,481,1404,1765,1777]"
44,"[436,1648,1053,1250,1667]"
45,"[1599,1590,319,1018,1714]"
46,"[1042,352,1148,159,937]"
47,"[1627,1676,113,116,1671]"
48,"[292,455,1071,1125,900]"
49,"[333,110,1011,1919,975]"
50,"[432,1609,1202,410,1080]"
51,"[501,1765,1777,1809,1506]"
52,"[1900,891,858,1066,1917]"
53,"[135,114,1157,496,718]"
54,"[116,1694,29,28,692]"
55,"[90,822,666,643,848]"
56,"[1587,1692,1897,1922,1627]"
57,"[90,822,666,643,848]"
58,"[1697,1696,1641,1248,455]"
59,"[1676,1869,1239,1068,455]"
60,"[1040,1127,1926,1936,693]"
61,"[1157,501,1773,1775,1769]"
62,"[1924,1067,478,128,90]"
63,"[1071,868,1748,688,1807]"
64,"[1321,1522,1618,1160,1176]"
65,"[259,998,995,994,1008]"
66,"[1765,1777,1763,698,1804]"
67,"[385,739,1030,1734,1032]"
68,"[677,1588,1733,666,1528]"
69,"[816,773,671,1486,510]"
70,"[1884,796,1896,1157,89]"
71,"[101,1562,1075,1160,1771]"
72,"[1315,1700,87,1232,1904]"
73,"[677,376,1135,1142,1855]"
74,"[1574,1034,1041,602,785]"
75,"[412,868,1676,1748,411]"
76,"[886,1909,1193,1029,1752]"
77,"[1733,347,823,355,412]"
78,"[1921,467,1601,692,102]"
79,"[1574,602,785,1041,1898]"
80,"[372,903,454,455,1113]"
81,"[1926,1931,445,126,1608]"
82,"[1249,1344,1417,1263,1775]"
83,"[1697,1248,1696,455,862]"
84,"[455,1697,862,1696,1248]"
85,"[677,1043,376,1051,1620]"
86,"[1088,1022,1615,1586,1064]"
87,"[1742,868,114,618,1534]"
88,"[132,1157,1098,372,1185]"
89,"[1900,1543,868,1638,1748]"
